run_id,workload,secret_N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
926e03a7-b66c-47f0-808f-ac40a191ffbd,secret,0,40,2454.257574,11.1977244324886,139.83984375,0.0,0.125,0
76d012dd-9295-473c-be89-6048b4d54bfa,secret,1,47,2422.540562,10.718540860493546,139.8359375,0.0,0.125,0
8c87bc50-0e21-42b1-a953-12eea7826eeb,secret,3,1,4594.605233,50.875774554274955,268.31640625,0.0,128.04296875,0
05ca36b8-442c-459a-bc9d-84e16fb6ec5b,secret,2,10,13921.716451,84.5466723979609,139.9375,0.0,1.0703125,0
335b4fc3-4e4b-4934-8f82-6c850d35c6bb,secret,1,49,2412.184936,10.973826925515633,139.8203125,0.0,0.125,0
badd083f-5746-423b-bed9-252fd4bdeb60,secret,1,13,2464.398943,10.718435046821071,139.96484375,0.0,0.125,0
1934041a-c790-4605-bee7-4655c04a0774,secret,1,15,2412.1415150000003,10.962043410624686,139.9140625,0.0,0.125,0
6c480f9a-f29d-4496-bddf-2801e8726492,secret,1,9,2391.990294,11.156065334770124,140.01953125,0.0,0.125,0
ed242929-9b4e-487a-851d-f9fe78c3a8b1,secret,1,38,2425.361653,11.10230301806458,139.96484375,0.0,0.125,0
59c370a2-291c-4061-9e32-c92105d5755f,secret,2,30,13792.026084,84.04682480587455,140.015625,0.0,1.0703125,0
ebb052d4-f7ff-44fc-b1f7-bd53229b8c8a,secret,1,48,2421.87052,10.743761809363779,139.97265625,0.0,0.125,0
afafba85-c2f7-454a-a80e-1adab104c52e,secret,0,46,2434.514749,11.167441072668563,139.87890625,0.0,0.125,0
4b6fc564-46cc-4946-9cd9-3cc07e2e02fc,secret,1,12,2399.051908,10.975877559044463,139.9609375,0.0,0.125,0
e6541351-9d6e-4a80-ac09-24228f60e82e,secret,3,41,4603.611496,50.700976874960865,268.5234375,0.0,128.04296875,0
566b0008-13d1-45db-991a-30a7878eaa4a,secret,2,16,13342.019303000001,83.2049088514199,139.97265625,0.0,1.0703125,0
f96cb069-8b0c-4c6b-a824-1e81201f23e0,secret,1,26,2417.736117,10.71543739527137,139.9453125,0.0,0.125,0
d4d38844-cfc5-48fa-affe-42755c1b8589,secret,1,33,2430.6578409999997,10.54080898093793,139.9609375,0.0,0.125,0
4bfea2db-c1ac-4123-a1dc-36c47fb10177,secret,3,14,4572.748263,50.8979910141185,343.7890625,0.0,128.04296875,0
249ee859-60a3-4785-8ea7-e1328c09026b,secret,0,4,2433.365941,10.910278455319268,139.96875,0.0,0.125,0
