run_id,workload,secret_N,mitigation,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
d26fcb96-c071-499b-8384-c9cc68395ebe,secret,0,high,22,20239.91581,88.62401982491251,140.27734375,0.0,140.0,0
a0cf3302-ceba-414a-8a41-d6e728363335,secret,1,none,14,2385.704485,11.054386729712668,139.9375,0.0,0.125,0
3f824143-8a9c-4fa2-a5f8-d99b17d34381,secret,3,low,2,10169.784570999998,78.4570405036164,400.1328125,0.0,128.04296875,0
40d64834-f005-49db-9d3d-656429a633a8,secret,3,low,29,10202.55225,78.1866517762749,373.09375,0.0,128.04296875,0
c6ccced5-87f4-4e6c-8613-1ead52f657f7,secret,3,high,7,20238.741945,88.45977209775624,414.1953125,0.0,140.0,0
91274dc0-e36c-474d-a4bb-00315b7d7b64,secret,2,low,9,13489.428778000001,83.9458007181748,139.9375,0.0,64.8203125,0
1ec1db6d-906d-4fd0-8e7d-8d2875d6e6f0,secret,0,low,1,10189.875729000001,78.85487726932807,139.95703125,0.0,64.0,0
6a45173d-8ead-43bf-9dd2-72ea076ebcdc,secret,1,low,26,10187.842439,78.78032123146775,139.87890625,0.0,64.0,0
f3a0d13e-eebf-4276-952c-bea43b5a24eb,secret,1,none,1,2413.028781,11.16919956040922,139.97265625,0.0,0.125,0
58a5b1a4-7e46-4834-8872-35c8ec140ca0,secret,3,low,25,10183.526765,78.16799801969195,399.98828125,0.0,128.04296875,0
b55ff979-d433-4be4-927a-d2e2720140ad,secret,3,none,13,4588.748286,51.0249822842429,400.06640625,0.0,128.04296875,0
2c0c195d-9541-4ec1-ae8c-cb8f2648eeac,secret,3,high,15,20192.957063,88.38052764793322,414.3125,0.0,140.83203125,0
3248c449-e58a-4404-985e-36cf6487668d,secret,0,low,13,10206.225365,78.7338189450219,140.01953125,0.0,64.0,0
3cee9524-76b1-40bb-91ed-ee8fa938cc05,secret,3,low,11,10247.835841,77.8521643377679,399.90234375,0.0,128.04296875,0
7c9b4420-dd94-4e85-a9a5-fa60a5c99fb3,secret,1,none,11,2449.940498,10.728056465639108,139.76953125,0.0,0.125,0
67bd66ba-db32-476e-bbbc-3c2332e37c03,secret,2,none,17,13227.687962999998,83.67059331122809,139.875,0.0,1.0703125,0
6a7cf7bd-4b41-49ab-9907-b50ac39cc398,secret,2,high,15,20208.994132,88.94947904179045,139.93359375,0.0,140.8203125,0
d1043a95-df3f-4ac0-99ba-80cc883717ec,secret,1,none,19,2434.5385610000003,10.66091144160768,139.98046875,0.0,0.125,0
b1018eb3-7082-44dc-9cce-0f3b3a24feb7,secret,3,high,27,20196.56549,89.11445368724424,414.33984375,0.0,140.0,0
3fcbd187-38fd-4194-aae8-654a9bcde206,secret,0,high,11,20274.416229,88.63910949157025,140.1171875,0.0,140.0,0
238ee2de-39c9-4310-a1d4-7bda27d36aaa,secret,1,high,3,20211.65513,88.96953210580533,140.171875,0.0,140.0,0
e687fcc1-fec0-4d60-9c49-dca4fc8dab20,secret,1,low,3,10227.473883,78.54770485753193,139.9453125,0.0,64.0,0
4bc083a5-d8ec-466c-884f-94c2f4997b9e,secret,3,low,8,10179.249492,78.45828915262037,279.48828125,0.0,128.04296875,0
ffd8dc96-4ac1-492c-90c6-f70d48cc2dc5,secret,1,low,17,10194.057754,78.5218329458564,139.97265625,0.0,64.0,0
